docId,filename,top topics, and contribution to doc ...
1,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1901.txt,23,0.183,10,0.170,1,0.152,22,0.109,14,0.099,8,0.080
2,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1902 (2).txt,12,0.427,21,0.133,23,0.123,8,0.058
3,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1902.txt,19,0.159,24,0.137,14,0.115,7,0.105,5,0.099,17,0.092,8,0.067,6,0.062,11,0.059
4,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1903.txt,18,0.350,16,0.102,21,0.064,8,0.062,24,0.056
5,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1904 (2).txt,15,0.228,11,0.140,13,0.115,4,0.104,1,0.090,14,0.069,6,0.063,5,0.056
6,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1904.txt,21,0.257,8,0.178,3,0.159,22,0.146
7,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1905.txt,20,0.212,3,0.161,9,0.149,22,0.101,1,0.068,21,0.058
8,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1909 (2).txt,20,0.140,22,0.127,1,0.118,21,0.087,23,0.081,24,0.073,3,0.072,8,0.067,14,0.051
9,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1909 (3).txt,2,0.152,22,0.102,3,0.098,14,0.067,21,0.065,8,0.062,20,0.062
10,C:\Users\catha\Documents\GitHub\Final-Project-\Final Project\Topicmodelbydecade\topicmodel1901-1909\1909.txt,25,0.457,6,0.158,17,0.096,16,0.077
