docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,,,,,,,,,
1,1881,1,0.266,11,0.213,21,0.098,17,0.089,23,0.086,4,0.086,,,,,,,,,,
2,1882,9,0.46,23,0.116,20,0.095,21,0.068,,,,,,,,,,,,,,
3,1884,12,0.139,24,0.13,20,0.108,18,0.107,23,0.075,5,0.074,6,0.056,17,0.053,,,,,,
4,1885.2,14,0.222,16,0.127,19,0.088,6,0.085,5,0.077,21,0.073,12,0.069,,,,,,,,
5,1885,4,0.177,23,0.146,1,0.124,21,0.12,3,0.078,11,0.065,9,0.052,,,,,,,,
6,1886,13,0.307,15,0.215,25,0.136,17,0.105,21,0.087,18,0.063,,,,,,,,,,
7,1887,11,0.1,4,0.098,8,0.089,21,0.087,2,0.083,3,0.074,10,0.073,7,0.06,23,0.058,17,0.058,19,0.055
8,1889,22,0.224,1,0.206,23,0.168,3,0.112,21,0.052,,,,,,,,,,,,
