docId,date,top topics, Percentage in Doc,,,,,,,,,,,,,,
1,1890,18,0.381,2,0.121,10,0.092,8,0.057,,,,,,,,
2,1892,4,0.233,7,0.147,11,0.14,2,0.1,17,0.096,13,0.053,23,0.053,,
3,1893,14,0.234,15,0.206,12,0.128,21,0.093,8,0.087,9,0.06,,,,
4,1894,25,0.246,16,0.146,6,0.136,22,0.087,5,0.081,9,0.075,3,0.074,20,0.054
5,1896.2,21,0.274,10,0.147,9,0.134,20,0.115,23,0.083,,,,,,
6,1896.3,12,0.304,24,0.257,8,0.121,9,0.093,22,0.087,,,,,,
7,1896,19,0.338,15,0.141,2,0.103,20,0.091,11,0.063,13,0.061,,,,
8,1897,12,0.263,1,0.175,9,0.089,15,0.078,13,0.061,8,0.056,,,,
