docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,,,,,,,,,
1,1870,18,0.16,11,0.156,8,0.088,10,0.075,9,0.071,23,0.067,19,0.065,4,0.052,,,,,,
2,1873.2,11,0.244,19,0.152,16,0.133,10,0.124,23,0.058,18,0.055,,,,,,,,,,
3,1873,10,0.094,16,0.08,8,0.08,3,0.076,7,0.07,11,0.069,17,0.064,14,0.062,18,0.055,4,0.055,23,0.051
4,1875,7,0.12,15,0.107,8,0.097,17,0.083,1,0.08,12,0.059,10,0.053,3,0.053,23,0.051,,,,
5,1877.2,19,0.218,16,0.15,11,0.125,23,0.099,10,0.092,18,0.065,5,0.051,,,,,,,,
6,1877.3,22,0.198,11,0.113,6,0.108,24,0.077,3,0.076,20,0.066,8,0.054,2,0.053,,,,,,
7,1877,11,0.145,13,0.103,10,0.095,5,0.08,9,0.07,25,0.067,2,0.066,17,0.059,23,0.051,,,,
